ID,CODIGO-BARRA,DESCRICAO,PRECO-CUSTO,PRECO-VENDA,CATEGORIA
277,,CHICLETE PLUTONITA LÍNGUA ÁCIDA VERDE,"R$ 0,00","R$ 0,50",CHICLETES
278,,CHICLETE PLUTONITA DENTADA ARDENTE VERMELHO,"R$ 0,00","R$ 0,50",CHICLETES
279,,CHICLETE PLUTONITA ABRAÇO CONGELANTE AZUL,"R$ 0,00","R$ 0,50",CHICLETES
280,,CHICLETE PLUTONITA MORDIDA DE ZUMBI AZUL,"R$ 0,00","R$ 0,50",CHICLETES
281,,CESTA CACHEPÔ,"R$ 0,00","R$ 18,00",CESTAS
282,,VENDAS AVULSAS,"R$ 0,00","R$ 23,25",CESTAS
283,7908228801672,"FINI TUBES GIGANTE TWISTER, FRUTAS SILVESTRES, AZUL 27G","R$ 0,00","R$ 2,50",MARSHMALLOW
284,7896004006277,"BATATA PRINGLES ORIGINAL 104,G","R$ 10,71","R$ 16,90",SALGADINHOS
285,7898967923295,POTE DE MINI GELATINAS COM 100 UNIDADES,"R$ 0,00","R$ 79,90",BALA DE GOMA
286,,"SACOLINHA SURPRESA DE 2,65","R$ 0,00","R$ 2,65",CESTAS
287,7898279794835,PACOTE DE CHICLETE SALADA DE FRUTAS FINI 450G,"R$ 0,00","R$ 21,90",CHICLETES
288,7891008121872,TALENTO DE MORANGO 85G,"R$ 0,00","R$ 9,50",CHOCOLATES
289,,NUCITA PEQUENA NAPOLITANO 10G,"R$ 0,33","R$ 0,75",CHOCOLATES
290,7896079846525,TUBIN DE CHOCOLATE 48G,"R$ 1,89","R$ 4,50",BOLACHAS
291,7896079846228,TUBIN DE AVELÃ 48G,"R$ 2,19","R$ 4,50",BOLACHAS
292,,CHICLETE PLUTONITA CABEÇA DE ABÓBORA,"R$ 0,00","R$ 0,50",CHICLETES
293,,PACOTE BALA CHITA 500G,"R$ 7,10","R$ 11,90",BALA MACIA
294,,PACOTE BALA BOLA 7 FRAMBOESA,"R$ 0,00","R$ 11,90",BALA MACIA
295,,"SACOLINHA SURPRESA DE 6,10","R$ 0,00","R$ 6,10",CESTAS
296,78932463,"DUCREM LOVE 25G CHOCOLATE COM AVELÃ, LEITE E MORANGO","R$ 0,00","R$ 1,50",CHOCOLATES
297,7896306623707,"BALA FANTASY FESTA 23,5G DE UNICÓNIO","R$ 0,00","R$ 1,40",BALA MACIA
298,,"SACOLINHA SURPRESA DE 2,00","R$ 0,00","R$ 3,90",CESTAS
299,7891000107836,CHOCOLATE SUFLAIR AO LEITE 50G,"R$ 3,95","R$ 6,50",CHOCOLATES
300,78917637,DUCREM DE BRIGADEIRO 10G,"R$ 0,00","R$ 0,50",CHOCOLATES
301,7908228801658,FINI TUBES GIGANTE IOGURTE DE MORANGO 27G,"R$ 0,00","R$ 2,50",MARSHMALLOW
302,7896423459012,CHOCOLATE SNICKERS MOUSSE DE LIMÃO 42G,"R$ 0,00","R$ 4,99",CHOCOLATES
303,,PACOTE BALA TOFFEE DE LIMÃO,"R$ 0,00","R$ 18,90",CARAMELO
304,7898196620040,PACOTE DE GELADINHO DO GRANDE COM 20 UNIDADES,"R$ 0,00","R$ 17,50",BEBIDAS
305,,CESTA,"R$ 0,00","R$ 109,90",CESTAS
306,7908228802402,PACOTE DE MARSHMALLOW TORÇÃO ROSA RECHEADO FINI 250G,"R$ 0,00","R$ 15,90",MARSHMALLOW
307,,CACHEPÔ VERMELHO,"R$ 0,00","R$ 4,00",CESTAS
308,7891151039758,DROPS FREEGELLS DE EUCALIPTO,"R$ 0,00","R$ 1,25",DROPS
309,7891151039536,DROPS FREEGELLS MENTA COM CHOCOLATE,"R$ 0,00","R$ 1,25",DROPS
310,7891151039659,DROPS FREEGELLS CREAM MORANGO COM RECHEIO,"R$ 0,00","R$ 1,25",DROPS
311,,BRINDES FLAP,"R$ 0,00","R$ 2,65",CESTAS
312,7896451922557,PACOTE DE MARSHMALLOW PIPOCA DOCE DOCILE 220G,"R$ 0,00","R$ 12,90",MARSHMALLOW
313,7896306621147,TRENTO MASSIMO DARK30G,"R$ 1,98","R$ 3,25",CHOCOLATES
314,78930230,BATON CREME AO LEITE 16G,"R$ 0,00","R$ 2,30",CHOCOLATES
315,,NUCITA MÉDIA NAPOLITANO 15G,"R$ 0,00","R$ 0,75",CHOCOLATES
316,,PIRULITO MAÇA DO AMOR DE MORANGO,"R$ 0,00","R$ 1,50",PIRULITO
317,,PIRULITO MAÇA DO AMOR DE CEREJA,"R$ 0,00","R$ 1,50",PIRULITO
318,7898963171928,PIRULITO DE OLHO DIP LOKO MONSTERS CABO NEON,"R$ 0,00","R$ 2,99",PIRULITO
319,,CHICLETE DRAGÃO CRIATURAS FRUTAS TROPICAIS,"R$ 0,00","R$ 0,50",CHICLETES
320,,CHICLETE CROCODILO CRIATURAS MIX DE UVAS,"R$ 0,00","R$ 0,50",CHICLETES
321,7896003737394,TEENS CHOCOLATE 80G,"R$ 3,45","R$ 6,80",BOLACHAS
322,,PIRULITO PÂNICO COM TATUAGEM DE LÍNGUA,"R$ 0,00","R$ 0,40",PIRULITO
323,,GARRAFA SQUEEZE BLOGUEIRA 900 ML,"R$ 0,00","R$ 23,90",GARRAFAS/SQUEEZE
324,7896077069896,PACOTE BALA ERLAN 400G,"R$ 6,71","R$ 12,90",BALA MACIA
325,7622300807283,CAIXA DE BIS BRANCO 126G COM 20,"R$ 0,00","R$ 7,50",CHOCOLATES
326,78936478,REFRIGERANTE FANTA 200ML,"R$ 1,48","R$ 2,99",BEBIDAS
327,7896286621373,PACOTE BALA AZEDINHA DE UVA 500G,"R$ 7,81","R$ 11,90",BALA MACIA
328,7895800201503,CHICLETE TRIDENT DE MORANGO 8G,"R$ 0,00","R$ 3,00",CHICLETES
